Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2015-11-12,116.260002,116.82,115.650002,115.720001,32525600,114.398953,112.339996,-3.380005
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,114.784501,115.720001,-0.39
2015-11-10,116.900002,118.07,116.059998,116.769997,59127900,115.436962,116.110001,-0.659996
2015-11-09,120.959999,121.809998,120.050003,120.57,33871400,119.193585,116.769997,-3.800003
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,119.677989,120.57,-0.489998
2015-11-05,121.849998,122.690002,120.18,120.919998,39552700,119.539588,121.059998,0.14
2015-11-04,123.129997,123.82,121.620003,122,44886100,120.09319,120.919998,-1.080002
2015-11-03,120.790001,123.489998,120.699997,122.57,45519000,120.654281,122,-0.57
2015-11-02,120.800003,121.360001,119.610001,121.18,32203300,119.286007,122.57,1.39
2015-10-30,120.989998,121.220001,119.449997,119.5,49365300,117.632264,121.18,1.68
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,118.646164,119.5,-1.029999
2015-10-28,116.93,119.300003,116.059998,119.269997,85551400,117.405856,120.529999,1.260002
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,112.759634,119.269997,4.719994
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,113.47822,114.550003,-0.729996
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,117.21883,115.279999,-3.800003
2015-10-22,114.330002,115.5,114.099998,115.5,41654100,113.694782,119.080002,3.580002
2015-10-21,114,115.580002,113.699997,113.760002,41795200,111.98198,115.5,1.739998
2015-10-20,111.339996,114.169998,110.82,113.769997,48967800,111.991818,113.760002,-0.009995
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,109.983709,113.769997,2.039994
2015-10-16,111.779999,112,110.529999,111.040001,38236300,109.304491,111.730003,0.690002
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,110.111675,111.040001,-0.82
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,108.487462,111.860001,1.650002
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,110.042769,110.209999,-1.580002
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,109.855736,111.790001,0.190003
2015-10-09,110,112.279999,109.489998,112.120003,52766100,110.367613,111.599998,-0.520005
2015-10-08,110.190002,110.190002,108.209999,109.5,61979600,107.78856,112.120003,2.620003
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,109.048553,109.5,-1.279999
2015-10-06,110.629997,111.739998,109.769997,111.309998,48857000,109.570268,110.779999,-0.529999
2015-10-05,109.879997,111.370003,109.07,110.779999,52064700,109.048553,111.309998,0.529999
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,108.654803,110.779999,0.400002
2015-10-01,109.07,109.620003,107.309998,109.580002,63929100,107.867311,110.379997,0.799995
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,108.576059,109.580002,-0.720001
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,107.355435,110.300003,1.240005
2015-09-28,113.849998,114.57,112.440002,112.440002,52109000,110.682611,109.059998,-3.380004
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,112.917129,112.440002,-2.269997
2015-09-24,113.25,115.5,112.370003,115,50219500,113.202597,114.709999,-0.290001
2015-09-23,113.629997,114.720001,113.300003,114.32,35756700,112.533225,115,0.68
2015-09-22,113.379997,114.18,112.519997,113.400002,50346200,111.627606,114.32,0.919998
2015-09-21,113.669998,115.370003,113.660004,115.209999,50222000,113.409314,113.400002,-1.809997
2015-09-18,112.209999,114.300003,111.870003,113.449997,74285300,111.67682,115.209999,1.760002
2015-09-17,115.660004,116.489998,113.720001,113.919998,64112600,112.139475,113.449997,-0.470001
2015-09-16,116.25,116.540001,115.440002,116.410004,37173500,114.590563,113.919998,-2.490006
2015-09-15,115.93,116.529999,114.419998,116.279999,43341200,114.46259,116.410004,0.130005
2015-09-14,116.580002,116.889999,114.860001,115.309998,58363400,113.50775,116.279999,0.970001
2015-09-11,111.790001,114.209999,111.760002,114.209999,49915500,112.424944,115.309998,1.099999
2015-09-10,110.269997,113.279999,109.900002,112.57,62892800,110.810577,114.209999,1.639999
2015-09-09,113.760002,114.019997,109.769997,110.150002,85010800,108.428402,112.57,2.419998
2015-09-08,111.75,112.559998,110.32,112.309998,54843600,110.554638,110.150002,-2.159996
2015-09-04,108.970001,110.449997,108.510002,109.269997,49996300,107.562151,112.309998,3.040001
2015-09-03,112.489998,112.779999,110.040001,110.370003,53233900,108.644965,109.269997,-1.100006
2015-09-02,110.230003,112.339996,109.129997,112.339996,61888800,110.584168,110.370003,-1.969993
2015-09-01,110.150002,111.879997,107.360001,107.720001,76845900,106.036382,112.339996,4.619995
2015-08-31,112.029999,114.529999,112,112.760002,56229300,110.99761,107.720001,-5.040001
2015-08-28,112.169998,113.309998,111.540001,113.290001,53164400,111.519325,112.760002,-0.529999
2015-08-27,112.230003,113.239998,110.019997,112.919998,84616100,111.155105,113.290001,0.370003
2015-08-26,107.089996,109.889999,105.050003,109.690002,96774600,107.975593,112.919998,3.229996
2015-08-25,111.110001,111.110001,103.5,103.739998,103601600,102.118584,109.690002,5.950004
2015-08-24,94.870003,108.800003,92,103.120003,162206300,101.508279,103.739998,0.619995
2015-08-21,110.43,111.900002,105.650002,105.760002,128275500,104.107017,103.120003,-2.639999
2015-08-20,114.080002,114.349998,111.629997,112.650002,68501600,110.889328,105.760002,-6.89
2015-08-19,116.099998,116.519997,114.68,115.010002,47445700,113.212443,112.650002,-2.36
2015-08-18,116.43,117.440002,116.010002,116.5,34560700,114.679153,115.010002,-1.489998
2015-08-17,116.040001,117.650002,115.5,117.160004,40884700,115.328841,116.5,-0.660004
2015-08-14,114.32,116.309998,114.010002,115.959999,42929500,114.147592,117.160004,1.200005
2015-08-13,116.040001,116.400002,114.540001,115.150002,48535800,113.350254,115.959999,0.809997
2015-08-12,112.529999,115.419998,109.629997,115.239998,101217500,113.438844,115.150002,-0.089996
2015-08-11,117.809998,118.18,113.330002,113.489998,97082800,111.716196,115.239998,1.75
2015-08-10,116.529999,119.989998,116.529999,119.720001,54951600,117.848827,113.489998,-6.230003
2015-08-07,114.580002,116.25,114.5,115.519997,38670400,113.714467,119.720001,4.200004
2015-08-06,115.970001,116.5,114.120003,115.129997,52903000,113.330563,115.519997,0.39
2015-08-05,112.949997,117.440002,112.099998,115.400002,99312600,113.084479,115.129997,-0.270005
2015-08-04,117.419998,117.699997,113.25,114.639999,124138600,112.339726,115.400002,0.760003
2015-08-03,121.5,122.57,117.519997,118.440002,69976000,116.063481,114.639999,-3.800003
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,118.866096,118.440002,-2.860001
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,119.914626,121.300003,-1.07
2015-07-29,123.150002,123.5,122.269997,122.989998,37011700,120.52218,122.370003,-0.619995
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,120.904354,122.989998,-0.389999
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,120.306594,123.379997,0.61
2015-07-24,125.32,125.739998,123.900002,124.5,42162300,122.001884,122.769997,-1.730003
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,122.648645,124.5,-0.660004
2015-07-22,121.989998,125.5,121.989998,125.220001,115450600,122.707438,125.160004,-0.059997
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,128.126477,125.220001,-5.529999
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,129.419998,130.75,-1.320007
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,127.019145,132.070007,2.450012
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,125.931417,129.619995,1.11
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,124.275333,128.509995,1.689995
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,123.089612,126.82,1.209999
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,123.138612,125.610001,-0.050003
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,120.806362,125.660004,2.380005
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,117.660773,123.279999,3.209999
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,120.11061,120.07,-2.5
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,123.168009,122.57,-3.120002
2015-07-06,124.940002,126.230003,124.849998,126,28060400,123.471786,125.690002,-0.309998
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,123.90296,126,-0.440002
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,124.059746,126.440002,-0.159996
